Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
add4d_1,1.207,0.000,6.906,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
add4d_1,grp_compute_fu_1216,1.207,0.000,0.000,0.000
add4d_1,grp_read_1_fu_1238,7.980,0.000,0.000,0.000
add4d_1,grp_write_1_fu_1346,7.980,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
add4d_1,m_axi_gmem0,0.000,0.000,0.000,0.000
add4d_1,m_axi_gmem1,0.000,0.000,0.000,0.000
add4d_1,m_axi_gmem2,0.000,0.000,0.000,0.000
add4d_1,m_axi_plmem0,0.000,0.000,0.280,23.204

